test_id,category,model,prompt_type,input_tokens,output_tokens,total_tokens,latency_seconds,output_text,assertions_passed,assertions_failed,semantic_similarity,parse_error,timestamp
A1,text_summary,test-model,baseline,34,10,44,0.10024905204772949,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:15:35.470029
A1,text_summary,test-model,ilang,3,10,13,0.1001591682434082,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:summary"": true, ""field_exists:impact"": true, ""field_exists:next_steps"": true, ""semantic_similarity:summary>=0.75"": true}",[],,,2026-05-08T22:15:35.570313
A2,text_summary,test-model,baseline,35,10,45,0.10015249252319336,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:15:35.670717
A2,text_summary,test-model,ilang,3,10,13,0.10018062591552734,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:3"": true, ""date_format:YYYY-MM-DD|YYYY-MM|YYYY"": false, ""chronological_order"": true}","[""is_array"", ""date_format:YYYY-MM-DD|YYYY-MM|YYYY""]",,,2026-05-08T22:15:35.771004
A3,text_summary,test-model,baseline,31,3,34,0.10020089149475098,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:15:35.871282
A3,text_summary,test-model,ilang,3,3,6,0.10014486312866211,Mock response text,"{""contains:Overview"": false, ""contains:Endpoints"": false, ""contains:Examples"": false, ""length_reduction>=0.50"": true}","[""contains:Overview"", ""contains:Endpoints"", ""contains:Examples""]",,,2026-05-08T22:15:35.971502
A4,text_summary,test-model,baseline,43,10,53,0.10016918182373047,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:15:36.071790
A4,text_summary,test-model,ilang,3,10,13,0.10011577606201172,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:common_themes"": false, ""field_exists:conflicts"": false, ""field_exists:gaps"": false, ""array_min_length:common_themes>=2"": true}","[""field_exists:common_themes"", ""field_exists:conflicts"", ""field_exists:gaps""]",,,2026-05-08T22:15:36.172126
A5,text_summary,test-model,baseline,36,10,46,0.10013341903686523,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:15:36.272368
A5,text_summary,test-model,ilang,3,10,13,0.10016536712646484,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""min_length:2"": true, ""date_format:deadline=YYYY-MM-DD"": false, ""enum_check:priority=high|medium|low"": true}","[""is_array"", ""date_format:deadline=YYYY-MM-DD""]",,,2026-05-08T22:15:36.372655
B1,table_transform,test-model,baseline,45,10,55,0.1001884937286377,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""all_amounts>=10000"": true, ""date_format:YYYY-MM-DD"": false, ""row_count_matches_filter"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:15:36.472969
B1,table_transform,test-model,ilang,3,10,13,0.10016059875488281,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""all_amounts>=10000"": true, ""date_format:YYYY-MM-DD"": false, ""row_count_matches_filter"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:15:36.573251
B2,table_transform,test-model,baseline,29,10,39,0.10014224052429199,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sorted_by:total_sales|desc"": true, ""numeric_fields:total_sales,avg_sale,transaction_count"": true}","[""is_array""]",,,2026-05-08T22:15:36.673498
B2,table_transform,test-model,ilang,3,10,13,0.10013580322265625,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sorted_by:total_sales|desc"": true, ""numeric_fields:total_sales,avg_sale,transaction_count"": true}","[""is_array""]",,,2026-05-08T22:15:36.773738
B3,table_transform,test-model,baseline,37,10,47,0.10013437271118164,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""nested_structure"": true, ""all_values_numeric"": true}",[],,,2026-05-08T22:15:36.874019
B3,table_transform,test-model,ilang,3,10,13,0.1002054214477539,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""nested_structure"": true, ""all_values_numeric"": true}",[],,,2026-05-08T22:15:36.974324
B4,table_transform,test-model,baseline,36,10,46,0.10015869140625,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:name"": false, ""field_exists:email"": false, ""no_null_in_required_fields"": true}","[""is_array"", ""field_exists:name"", ""field_exists:email""]",,,2026-05-08T22:15:37.074586
B4,table_transform,test-model,ilang,3,10,13,0.1001427173614502,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:name"": false, ""field_exists:email"": false, ""no_null_in_required_fields"": true}","[""is_array"", ""field_exists:name"", ""field_exists:email""]",,,2026-05-08T22:15:37.174843
B5,table_transform,test-model,baseline,33,10,43,0.10015416145324707,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""date_format:YYYY-MM-DD"": false, ""numeric_fields:total_requests,avg_latency,max_error_rate"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:15:37.275140
B5,table_transform,test-model,ilang,3,10,13,0.10016369819641113,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""date_format:YYYY-MM-DD"": false, ""numeric_fields:total_requests,avg_latency,max_error_rate"": true}","[""is_array"", ""date_format:YYYY-MM-DD""]",,,2026-05-08T22:15:37.375424
C1,code_generation,test-model,baseline,30,3,33,0.10016036033630371,Mock response text,"{""starts_with:def"": true, ""contains:docstring"": false, ""contains:type_hints"": false, ""syntax_valid:python"": true}","[""contains:docstring"", ""contains:type_hints""]",,,2026-05-08T22:15:37.475658
C1,code_generation,test-model,ilang,3,3,6,0.10023927688598633,Mock response text,"{""starts_with:def"": true, ""contains:docstring"": false, ""contains:type_hints"": false, ""syntax_valid:python"": true}","[""contains:docstring"", ""contains:type_hints""]",,,2026-05-08T22:15:37.575978
C2,code_generation,test-model,baseline,33,10,43,0.10013580322265625,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:issue"": false, ""field_exists:fix"": false, ""field_exists:explanation"": false, ""syntax_valid:fix"": true}","[""field_exists:issue"", ""field_exists:fix"", ""field_exists:explanation""]",,,2026-05-08T22:15:37.676221
C2,code_generation,test-model,ilang,3,10,13,0.10014200210571289,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:issue"": false, ""field_exists:fix"": false, ""field_exists:explanation"": false, ""syntax_valid:fix"": true}","[""field_exists:issue"", ""field_exists:fix"", ""field_exists:explanation""]",,,2026-05-08T22:15:37.776514
C3,code_generation,test-model,baseline,26,3,29,0.10014796257019043,Mock response text,"{""contains:import pytest"": false, ""contains:def test_"": false, ""min_test_count:3"": true, ""syntax_valid:python"": true}","[""contains:import pytest"", ""contains:def test_""]",,,2026-05-08T22:15:37.876736
C3,code_generation,test-model,ilang,3,3,6,0.10015130043029785,Mock response text,"{""contains:import pytest"": false, ""contains:def test_"": false, ""min_test_count:3"": true, ""syntax_valid:python"": true}","[""contains:import pytest"", ""contains:def test_""]",,,2026-05-08T22:15:37.976969
C4,code_generation,test-model,baseline,26,3,29,0.10017681121826172,Mock response text,"{""syntax_valid:python"": true, ""has_comments"": true, ""function_count_increased"": true, ""length_similar"": true}",[],,,2026-05-08T22:15:38.077225
C4,code_generation,test-model,ilang,3,3,6,0.10014724731445312,Mock response text,"{""syntax_valid:python"": true, ""has_comments"": true, ""function_count_increased"": true, ""length_similar"": true}",[],,,2026-05-08T22:15:38.177454
C5,code_generation,test-model,baseline,28,3,31,0.10012578964233398,Mock response text,"{""starts_with:SELECT"": true, ""syntax_valid:sql"": true, ""contains_required_tables"": true}",[],,,2026-05-08T22:15:38.277665
C5,code_generation,test-model,ilang,3,3,6,0.10013413429260254,Mock response text,"{""starts_with:SELECT"": true, ""syntax_valid:sql"": true, ""contains_required_tables"": true}",[],,,2026-05-08T22:15:38.377889
D1,data_extraction,test-model,baseline,32,10,42,0.10022091865539551,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:party_a"": false, ""field_exists:party_b"": false, ""date_format:start_date=YYYY-MM-DD"": false, ""date_format:end_date=YYYY-MM-DD"": false}","[""field_exists:party_a"", ""field_exists:party_b"", ""date_format:start_date=YYYY-MM-DD"", ""date_format:end_date=YYYY-MM-DD""]",,,2026-05-08T22:15:38.478231
D1,data_extraction,test-model,ilang,3,10,13,0.10014939308166504,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:party_a"": false, ""field_exists:party_b"": false, ""date_format:start_date=YYYY-MM-DD"": false, ""date_format:end_date=YYYY-MM-DD"": false}","[""field_exists:party_a"", ""field_exists:party_b"", ""date_format:start_date=YYYY-MM-DD"", ""date_format:end_date=YYYY-MM-DD""]",,,2026-05-08T22:15:38.578484
D2,data_extraction,test-model,baseline,25,10,35,0.10023188591003418,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:people"": false, ""field_exists:organizations"": false, ""all_arrays"": true, ""date_format_in_dates"": true}","[""field_exists:people"", ""field_exists:organizations""]",,,2026-05-08T22:15:38.678820
D2,data_extraction,test-model,ilang,3,10,13,0.10011672973632812,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:people"": false, ""field_exists:organizations"": false, ""all_arrays"": true, ""date_format_in_dates"": true}","[""field_exists:people"", ""field_exists:organizations""]",,,2026-05-08T22:15:38.779077
D3,data_extraction,test-model,baseline,26,10,36,0.10012245178222656,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:invoice_number"": false, ""date_format:YYYY-MM-DD"": false, ""is_array:line_items"": false, ""numeric_fields:subtotal,tax,total"": true, ""math_check:subtotal+tax=total"": true}","[""field_exists:invoice_number"", ""date_format:YYYY-MM-DD"", ""is_array:line_items""]",,,2026-05-08T22:15:38.879349
D3,data_extraction,test-model,ilang,3,10,13,0.10011887550354004,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:invoice_number"": false, ""date_format:YYYY-MM-DD"": false, ""is_array:line_items"": false, ""numeric_fields:subtotal,tax,total"": true, ""math_check:subtotal+tax=total"": true}","[""field_exists:invoice_number"", ""date_format:YYYY-MM-DD"", ""is_array:line_items""]",,,2026-05-08T22:15:38.979590
D4,data_extraction,test-model,baseline,27,10,37,0.10010719299316406,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:name"": false, ""field_exists:email"": false, ""is_array:education"": false, ""is_array:experience"": false, ""is_array:skills"": false}","[""field_exists:name"", ""field_exists:email"", ""is_array:education"", ""is_array:experience"", ""is_array:skills""]",,,2026-05-08T22:15:39.079808
D4,data_extraction,test-model,ilang,3,10,13,0.10010266304016113,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:name"": false, ""field_exists:email"": false, ""is_array:education"": false, ""is_array:experience"": false, ""is_array:skills"": false}","[""field_exists:name"", ""field_exists:email"", ""is_array:education"", ""is_array:experience"", ""is_array:skills""]",,,2026-05-08T22:15:39.180032
D5,data_extraction,test-model,baseline,28,10,38,0.10010290145874023,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""min_fields:5"": true, ""no_empty_values"": true}",[],,,2026-05-08T22:15:39.280231
D5,data_extraction,test-model,ilang,3,10,13,0.10010552406311035,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_object"": true, ""min_fields:5"": true, ""no_empty_values"": true}",[],,,2026-05-08T22:15:39.380440
E1,multi_turn,test-model,baseline,29,10,39,0.10012555122375488,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sequential_steps"": true, ""numeric_results"": true, ""final_result_correct"": true}","[""is_array""]",,,2026-05-08T22:15:39.480694
E1,multi_turn,test-model,ilang,3,10,13,0.1000983715057373,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""sequential_steps"": true, ""numeric_results"": true, ""final_result_correct"": true}","[""is_array""]",,,2026-05-08T22:15:39.580909
E2,multi_turn,test-model,baseline,31,10,41,0.10010099411010742,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:executed_steps"": false, ""field_exists:skipped_steps"": false, ""is_array:executed_steps"": false, ""is_array:skipped_steps"": false}","[""field_exists:executed_steps"", ""field_exists:skipped_steps"", ""is_array:executed_steps"", ""is_array:skipped_steps""]",,,2026-05-08T22:15:39.681122
E2,multi_turn,test-model,ilang,3,10,13,0.10012507438659668,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:executed_steps"": false, ""field_exists:skipped_steps"": false, ""is_array:executed_steps"": false, ""is_array:skipped_steps"": false}","[""field_exists:executed_steps"", ""field_exists:skipped_steps"", ""is_array:executed_steps"", ""is_array:skipped_steps""]",,,2026-05-08T22:15:39.781367
E3,multi_turn,test-model,baseline,34,10,44,0.10016298294067383,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""length:3"": true, ""progressive_improvement"": true, ""final_text_better"": true}","[""is_array""]",,,2026-05-08T22:15:39.881629
E3,multi_turn,test-model,ilang,3,10,13,0.10011935234069824,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""length:3"": true, ""progressive_improvement"": true, ""final_text_better"": true}","[""is_array""]",,,2026-05-08T22:15:39.981848
E4,multi_turn,test-model,baseline,31,10,41,0.10012316703796387,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:path"": false, ""is_array:path"": false, ""field_exists:decision"": false, ""confidence_range:0-1"": true}","[""field_exists:path"", ""is_array:path"", ""field_exists:decision""]",,,2026-05-08T22:15:40.082154
E4,multi_turn,test-model,ilang,3,10,13,0.10011816024780273,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:path"": false, ""is_array:path"": false, ""field_exists:decision"": false, ""confidence_range:0-1"": true}","[""field_exists:path"", ""is_array:path"", ""field_exists:decision""]",,,2026-05-08T22:15:40.182420
E5,multi_turn,test-model,baseline,34,10,44,0.10011982917785645,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:transitions"": false, ""is_array:transitions"": false, ""field_exists:final_state"": false, ""boolean:valid"": true}","[""field_exists:transitions"", ""is_array:transitions"", ""field_exists:final_state""]",,,2026-05-08T22:15:40.282646
E5,multi_turn,test-model,ilang,3,10,13,0.10011839866638184,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:transitions"": false, ""is_array:transitions"": false, ""field_exists:final_state"": false, ""boolean:valid"": true}","[""field_exists:transitions"", ""is_array:transitions"", ""field_exists:final_state""]",,,2026-05-08T22:15:40.382894
F1,complex_pipeline,test-model,baseline,33,10,43,0.10014653205871582,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:url"": false, ""field_exists:title"": false, ""field_exists:summary"": true, ""is_array:keywords"": false}","[""is_array"", ""field_exists:url"", ""field_exists:title"", ""is_array:keywords""]",,,2026-05-08T22:15:40.483164
F1,complex_pipeline,test-model,ilang,3,10,13,0.10011076927185059,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""field_exists:url"": false, ""field_exists:title"": false, ""field_exists:summary"": true, ""is_array:keywords"": false}","[""is_array"", ""field_exists:url"", ""field_exists:title"", ""is_array:keywords""]",,,2026-05-08T22:15:40.583382
F2,complex_pipeline,test-model,baseline,30,10,40,0.10014081001281738,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicates"": true, ""no_missing_values"": true, ""field_exists:age_group"": false, ""field_exists:region_code"": false}","[""is_array"", ""field_exists:age_group"", ""field_exists:region_code""]",,,2026-05-08T22:15:40.683638
F2,complex_pipeline,test-model,ilang,3,10,13,0.1001589298248291,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicates"": true, ""no_missing_values"": true, ""field_exists:age_group"": false, ""field_exists:region_code"": false}","[""is_array"", ""field_exists:age_group"", ""field_exists:region_code""]",,,2026-05-08T22:15:40.783947
F3,complex_pipeline,test-model,baseline,30,10,40,0.10015416145324707,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicate_ids"": true, ""field_exists:source"": false, ""conflict_resolved"": true}","[""is_array"", ""field_exists:source""]",,,2026-05-08T22:15:40.884199
F3,complex_pipeline,test-model,ilang,3,10,13,0.10015439987182617,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""is_array"": false, ""no_duplicate_ids"": true, ""field_exists:source"": false, ""conflict_resolved"": true}","[""is_array"", ""field_exists:source""]",,,2026-05-08T22:15:40.984473
F4,complex_pipeline,test-model,baseline,34,10,44,0.1001291275024414,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:data"": false, ""field_exists:errors"": false, ""is_array:data"": false, ""is_array:errors"": false, ""all_valid_in_data"": true}","[""field_exists:data"", ""field_exists:errors"", ""is_array:data"", ""is_array:errors""]",,,2026-05-08T22:15:41.084706
F4,complex_pipeline,test-model,ilang,3,10,13,0.10017895698547363,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""field_exists:data"": false, ""field_exists:errors"": false, ""is_array:data"": false, ""is_array:errors"": false, ""all_valid_in_data"": true}","[""field_exists:data"", ""field_exists:errors"", ""is_array:data"", ""is_array:errors""]",,,2026-05-08T22:15:41.185002
F5,complex_pipeline,test-model,baseline,30,3,33,0.10013437271118164,Mock response text,"{""contains:Executive Summary"": false, ""contains:Detailed Metrics"": false, ""contains:Anomalies"": false, ""contains:Recommendations"": false, ""markdown_valid"": true}","[""contains:Executive Summary"", ""contains:Detailed Metrics"", ""contains:Anomalies"", ""contains:Recommendations""]",,,2026-05-08T22:15:41.285216
F5,complex_pipeline,test-model,ilang,3,10,13,0.10014772415161133,"{""summary"": ""Mock summary"", ""impact"": ""Mock impact"", ""next_steps"": ""Mock next steps""}","{""contains:Executive Summary"": false, ""contains:Detailed Metrics"": false, ""contains:Anomalies"": false, ""contains:Recommendations"": false, ""markdown_valid"": true}","[""contains:Executive Summary"", ""contains:Detailed Metrics"", ""contains:Anomalies"", ""contains:Recommendations""]",,,2026-05-08T22:15:41.385439
